stats_entry_id,player_id,game_date,vs_team,outcome,min,fgm_fga,fg_per,threem_threea,three_per,ftm_fta,ft_per,rebounds,assists,blocks,steals,fouls,turnovers,points
3207,120,Sat 1/18,@UMBC,"W 73-47
",17,0-0,.000,0-0,.000,1-2,.500,3,5,0,2,0,0,1
3208,120,Mon 1/20,vsNEW HAMPSHIRE,"W 57-40
",3,0-0,.000,0-0,.000,0-0,.000,0,0,0,0,0,0,0
3209,120,Fri 1/24,@STONY BROOK,"L 67-64
",6,0-0,.000,0-0,.000,0-0,.000,0,3,0,0,1,0,0
3210,120,Sun 1/26,vsBINGHAMTON,"W 72-39
",9,0-0,.000,0-0,.000,0-0,.000,0,0,0,1,1,2,0
3211,120,Wed 1/29,@HARTFORD,"W 67-60
",14,0-2,.000,0-0,.000,0-0,.000,1,1,0,4,2,1,0
3212,120,Sat 2/1,@ALBANY,"W 55-45
",9,0-0,.000,0-0,.000,0-0,.000,1,2,0,0,1,0,0
3213,120,Tue 2/4,vsMAINE,"W 93-65
",9,1-1,1.0,1-1,1.0,0-0,.000,0,0,0,0,0,1,3
3214,120,Wed 2/12,vsUMASS LOWELL,"W 83-58
",9,0-0,.000,0-0,.000,0-0,.000,1,2,0,0,0,0,0
3215,120,Sat 2/15,vsUMBC,"W 76-52
",12,2-2,1.0,0-0,.000,0-0,.000,0,1,0,2,2,3,4
3244,122,Sat 11/9,vsSAINT JOSEPH'S,"L 74-64
",2,0-0,.000,0-0,.000,0-0,.000,0,0,0,0,1,0,0
3245,122,Tue 11/12,vsSIENA,"W 77-66
",9,0-1,.000,0-1,.000,0-0,.000,2,0,1,0,2,1,0
3253,122,Sun 12/15,vsQUINNIPIAC,"L 80-67
",3,1-1,1.0,0-0,.000,0-1,.000,0,0,0,0,3,0,2
3256,122,Mon 12/30,vsLYNDON STATE COLLEGE,"W 88-48
",14,4-5,.800,1-1,1.0,4-5,.800,3,1,2,3,2,0,13
3257,122,Sat 1/4,@DARTMOUTH,"W 62-53
",5,0-1,.000,0-0,.000,1-2,.500,2,0,1,0,1,0,1
3258,122,Wed 1/8,@YALE,"W 67-59
",1,0-1,.000,0-0,.000,0-0,.000,0,0,0,0,0,0,0
3259,122,Sat 1/11,vsALBANY,"W 68-38
",3,0-1,.000,0-0,.000,0-0,.000,0,0,1,0,1,1,0
3260,122,Thu 1/16,@MAINE,"W 83-46
",10,1-1,1.0,0-0,.000,1-2,.500,1,0,0,1,0,1,3
3261,122,Sat 1/18,@UMBC,"W 73-47
",6,1-3,.333,0-1,.000,1-2,.500,1,0,0,1,0,0,3
